,radonShortTermAvg,temp,humidity,co2,voc,pressure,light
2011-01-01 00:01:26,151.0,18.8,51.0,470.0,136.0,1026.5,0
2011-01-01 00:06:25,151.0,18.8,51.0,477.0,142.0,1026.5,0
2011-01-01 00:11:25,151.0,18.8,51.0,483.0,131.0,1026.5,0
2011-01-01 00:16:25,151.0,18.8,51.0,477.0,140.0,1026.5,0
2011-01-01 00:21:25,151.0,18.8,51.0,481.0,135.0,1026.4,0
2011-01-01 00:26:25,168.0,18.7,51.0,483.0,131.0,1026.4,0
2011-01-01 00:31:25,168.0,18.7,51.0,488.0,131.0,1026.4,0
2011-01-01 00:36:25,168.0,18.7,51.0,492.0,131.0,1026.3,0
2011-01-01 00:41:25,168.0,18.7,51.0,494.0,129.0,1026.3,0
2011-01-01 00:46:25,168.0,18.7,51.0,491.0,122.0,1026.1,1
2011-01-01 00:51:25,168.0,18.7,51.0,496.0,123.0,1026.0,0
2011-01-01 00:56:25,168.0,18.7,51.0,510.0,342.0,1025.8,0
2011-01-01 01:01:26,168.0,18.7,51.0,521.0,520.0,1025.8,0
2011-01-01 01:06:25,168.0,18.7,51.0,536.0,556.0,1025.7,0
2011-01-01 01:11:25,168.0,18.7,51.0,542.0,556.0,1025.6,0
2011-01-01 01:16:25,168.0,18.7,51.0,547.0,512.0,1025.6,0
2011-01-01 01:21:25,168.0,18.7,51.0,555.0,497.0,1025.6,0
2011-01-01 01:26:25,186.0,18.7,51.0,556.0,470.0,1025.5,0
2011-01-01 01:31:25,186.0,18.7,51.0,563.0,435.0,1025.4,0
2011-01-01 01:36:25,186.0,18.7,51.0,578.0,404.0,1025.4,0
2011-01-01 01:41:25,186.0,18.7,51.0,594.0,390.0,1025.2,0
2011-01-01 01:46:25,186.0,18.7,51.0,609.0,376.0,1025.2,0
2011-01-01 01:51:25,186.0,18.7,51.0,604.0,384.0,1025.1,0
2011-01-01 01:56:25,186.0,18.7,51.0,617.0,387.0,1025.0,0
2011-01-01 02:01:25,186.0,18.6,51.0,618.0,362.0,1024.9,0
2011-01-01 02:06:25,186.0,18.7,51.0,633.0,353.0,1024.8,1
2011-01-01 02:11:25,186.0,18.6,51.0,651.0,356.0,1024.7,1
2011-01-01 02:16:25,186.0,18.7,51.0,643.0,339.0,1024.6,0
2011-01-01 02:21:25,186.0,18.6,51.0,660.0,335.0,1024.5,0
2011-01-01 02:26:25,195.0,18.6,51.0,664.0,294.0,1024.5,0
2011-01-01 02:31:25,195.0,18.6,51.0,664.0,322.0,1024.5,0
2011-01-01 02:36:25,195.0,18.6,51.0,647.0,500.0,1024.5,0
2011-01-01 02:41:25,195.0,18.6,51.0,636.0,556.0,1024.5,0
2011-01-01 02:46:25,195.0,18.6,51.0,638.0,561.0,1024.4,0
2011-01-01 02:51:25,195.0,18.6,51.0,646.0,493.0,1024.4,0
2011-01-01 02:56:25,195.0,18.6,51.0,649.0,479.0,1024.4,0
2011-01-01 03:01:25,195.0,18.6,51.0,651.0,512.0,1024.4,0
2011-01-01 03:06:26,195.0,18.6,51.0,646.0,526.0,1024.4,0
2011-01-01 03:11:25,195.0,18.6,52.0,655.0,516.0,1024.4,0
2011-01-01 03:16:25,195.0,18.6,52.0,670.0,470.0,1024.4,0
2011-01-01 03:21:25,195.0,18.6,52.0,663.0,452.0,1024.5,0
2011-01-01 03:26:25,198.0,18.6,52.0,669.0,425.0,1024.5,0
2011-01-01 03:31:25,198.0,18.7,52.0,681.0,411.0,1024.6,0
2011-01-01 03:36:25,198.0,18.7,52.0,671.0,380.0,1024.6,0
2011-01-01 03:41:25,198.0,18.7,51.0,672.0,349.0,1024.6,0
2011-01-01 03:46:25,198.0,18.7,51.0,685.0,335.0,1024.6,0
2011-01-01 03:51:25,198.0,18.7,51.0,689.0,335.0,1024.7,0
2011-01-01 03:56:25,198.0,18.7,51.0,688.0,342.0,1024.7,0
2011-01-01 04:01:25,198.0,18.7,51.0,691.0,367.0,1024.7,0
2011-01-01 04:06:25,198.0,18.8,51.0,688.0,418.0,1024.8,0
2011-01-01 04:11:25,198.0,18.8,51.0,681.0,397.0,1024.8,0
2011-01-01 04:16:25,198.0,18.8,51.0,686.0,370.0,1024.9,0
2011-01-01 04:21:25,198.0,18.8,51.0,685.0,353.0,1024.9,0
2011-01-01 04:26:25,206.0,18.8,51.0,675.0,325.0,1024.9,0
2011-01-01 04:31:25,206.0,18.8,51.0,681.0,325.0,1024.8,0
2011-01-01 04:36:25,206.0,18.8,51.0,667.0,294.0,1024.8,0
2011-01-01 04:41:25,206.0,18.8,51.0,676.0,284.0,1024.7,0
2011-01-01 04:46:25,206.0,18.8,51.0,680.0,267.0,1024.6,0
2011-01-01 04:51:25,206.0,18.9,51.0,679.0,239.0,1024.7,0
2011-01-01 04:56:25,206.0,18.9,51.0,687.0,229.0,1024.7,0
2011-01-01 05:01:25,206.0,18.9,51.0,676.0,205.0,1024.7,0
2011-01-01 05:06:25,206.0,18.9,51.0,688.0,169.0,1024.6,0
2011-01-01 05:11:25,206.0,18.9,51.0,693.0,178.0,1024.5,0
2011-01-01 05:16:25,206.0,18.9,51.0,677.0,169.0,1024.6,0
2011-01-01 05:21:25,206.0,18.9,51.0,658.0,161.0,1024.4,0
2011-01-01 05:26:25,215.0,18.9,51.0,670.0,153.0,1024.3,0
2011-01-01 05:31:25,215.0,18.9,51.0,661.0,140.0,1024.3,0
2011-01-01 05:36:25,215.0,18.9,51.0,657.0,148.0,1024.2,0
2011-01-01 05:41:24,215.0,18.9,51.0,674.0,148.0,1024.2,0
2011-01-01 05:46:24,215.0,18.9,51.0,674.0,125.0,1024.1,0
2011-01-01 05:51:24,215.0,18.9,51.0,663.0,138.0,1024.2,0
2011-01-01 05:56:24,215.0,18.9,51.0,660.0,125.0,1024.1,0
2011-01-01 06:01:24,215.0,18.9,51.0,672.0,114.0,1024.1,0
2011-01-01 06:06:24,215.0,18.9,51.0,671.0,118.0,1023.8,0
2011-01-01 06:11:24,215.0,18.9,51.0,653.0,112.0,1023.6,0
2011-01-01 06:16:24,215.0,18.9,51.0,654.0,108.0,1023.8,0
2011-01-01 06:21:24,215.0,18.9,51.0,647.0,108.0,1023.9,0
2011-01-01 06:26:24,224.0,18.9,51.0,637.0,99.0,1023.9,0
2011-01-01 06:31:24,224.0,18.9,51.0,640.0,93.0,1024.0,0
2011-01-01 06:36:24,224.0,18.9,51.0,643.0,95.0,1023.9,0
2011-01-01 06:41:24,224.0,18.9,51.0,642.0,91.0,1023.8,0
2011-01-01 06:46:24,224.0,18.9,51.0,643.0,86.0,1023.8,0
2011-01-01 06:51:24,224.0,18.9,51.0,638.0,86.0,1023.7,0
2011-01-01 06:56:24,224.0,18.9,51.0,627.0,86.0,1023.6,0
2011-01-01 07:01:24,224.0,18.9,51.0,623.0,86.0,1023.4,0
2011-01-01 07:06:24,224.0,18.9,51.0,611.0,80.0,1023.4,0
2011-01-01 07:11:24,224.0,18.9,51.0,615.0,76.0,1023.5,0
2011-01-01 07:16:24,224.0,18.9,51.0,623.0,75.0,1023.5,0
2011-01-01 07:21:24,224.0,18.9,51.0,631.0,63.0,1023.4,1
2011-01-01 07:26:24,232.0,18.9,51.0,629.0,80.0,1023.4,0
2011-01-01 07:31:24,232.0,18.9,51.0,630.0,69.0,1023.4,0
2011-01-01 07:36:24,232.0,18.9,51.0,625.0,72.0,1023.4,0
2011-01-01 07:41:24,232.0,18.8,51.0,612.0,72.0,1023.4,1
2011-01-01 07:46:24,232.0,18.8,51.0,613.0,72.0,1023.4,0
2011-01-01 07:51:24,232.0,18.8,51.0,619.0,58.0,1023.4,0
2011-01-01 07:56:24,232.0,18.8,51.0,622.0,72.0,1023.4,0
2011-01-01 08:01:24,232.0,18.8,51.0,627.0,69.0,1023.3,0
2011-01-01 08:06:24,232.0,18.8,51.0,622.0,69.0,1023.3,0
2011-01-01 08:11:24,232.0,18.8,51.0,615.0,72.0,1023.2,0
2011-01-01 08:16:24,232.0,18.8,51.0,604.0,59.0,1023.1,0
2011-01-01 08:21:24,232.0,18.8,51.0,621.0,71.0,1023.1,0
2011-01-01 08:26:24,236.0,18.8,51.0,616.0,69.0,1023.1,0
